record_id,title,exclusion_reason
73078,Letter to the editor of Aquaculture,Should be excluded
73904,Cryopreservation of fish sperm: applications and perspectives,Should be excluded
82515,Family sport and recreational fish farms within the natural landscape,Should be excluded
74336,The global economic cost of sea lice to the salmonid farming industry,Should be excluded
79432,Potencialidad como abono orgánico de los desechos sólidos subproductos del cultivo de especies salmonideas,Should be excluded
84508,Análisis de las condiciones laborales durante la crisis en la industria chilena del salmón,Should be excluded
76377,Experimental methods for pharmacokinetic studies in salmonids,Should be excluded
82353,Innovation in seafood value chains: the case of Norway,Should be excluded
76792,"The developmental stages of Lepeophtheirus salmonis (Krøyer, 1837) (Copepoda: Caligidae)",Should be excluded
76990,Quantity and Quality of Aquaculture Enrichments Influence Disease Epidemics and Provide Ecological Alternatives to Antibiotics,Should be excluded
73924,Mariculture — Ecological and Genetic Aspects of Production,Should be excluded
75413,Determination of nitroimidazole residues in aquaculture tissue using ultra high performance liquid chromatography coupled to tandem mass spectrometry,Should be excluded
72683,Future feed resources in sustainable salmonid production: A review,Should be excluded
83514,Caldicellulosiruptor saccharolyticus as a potential fish feed,Should be excluded
81729,Reducing production-related diseases in farmed fish,Should be excluded
84509,Mixed model methodology to infer whether aggression increases due to selection on growth in aquaculture species,Should be excluded
72445,The ecological impact of salmonid farming in coastal waters: a review,Should be excluded
82872,Alternatives to fish oil substitution - An assessment of strategies forsustaining n-3 long chain polyunsaturated fatty acids (n-3 LC-PUFA) levels in salmonids,Should be excluded
82418,Identifying key habitats for the conservation of Chilean dolphins in the fjords of southern Chile,Should be excluded
79865,A Review of Ichthyobodo Necator (Henneguy, 1883) an Important and Damaging Fish Parasite,Should be excluded
75595,Selection and Breeding Programs in Aquaculture - Selection and breeding programs in aquaculture,Should be excluded
84261,Monitoring river catchments in relation to potential environmental impacts from aquaculture activities,Should be excluded
74597,Recapturing escaped fish from marine aquaculture is largely unsuccessful: alternatives to reduce the number of escapees in the wild,Should be excluded
75802,Fluoride content of salmonids fed on Antarctic krill,Should be excluded
75514,Host-Microbiota Interactions and Their Importance in Promoting Growth and Resistance to Opportunistic Diseases in Salmonids,Should be excluded
79837,Response to organic enrichment of infaunal macrobenthic communities under salmonid seacages,Should be excluded
81266,Legal size limit implies strong fisheries selection on sexually selected traits in a temperate wrasse providing male-only parental care,Should be excluded
74017,Integrated field, laboratory, and theoretical study of PKD spread in a Swiss prealpine river,Should be excluded
82017,The inverse autotransporters of Yersinia ruckeri, YrInv and YrIlm, contribute to biofilm formation and virulence,Should be excluded
79740,A review of the biophysical properties of salmonid faeces: implications for aquaculture waste dispersal models and integrated multi‐trophic aquaculture,Should be excluded
77265,"Genomic Prediction Using Low Density Marker Panels in Aquaculture: Performance Across Species, Traits, and Genotyping Platforms",Should be excluded
