broad_topic,subtopic,feature,component,dictionary_row,broad_topic_id,hierarchy_path,repeated_general,exact_duplicate_path
Business and economy,Companies,Companies,Companies,1,1,Business and economy > Companies > Companies > Companies,FALSE,FALSE
Business and economy,Customer preference,Customer preference,Customer preference,2,1,Business and economy > Customer preference > Customer preference > Customer preference,FALSE,FALSE
Business and economy,Economy,Economy,Economy,3,1,Business and economy > Economy > Economy > Economy,FALSE,FALSE
Business and economy,Legislation,Legislation,Legislation,4,1,Business and economy > Legislation > Legislation > Legislation,FALSE,FALSE
Business and economy,Public image,Public image,Public image,5,1,Business and economy > Public image > Public image > Public image,FALSE,FALSE
Business and economy,Supply chains,Supply chains,Supply chains,6,1,Business and economy > Supply chains > Supply chains > Supply chains,FALSE,FALSE
Consumption,Contaminant,Contaminant,Contaminant,7,2,Consumption > Contaminant > Contaminant > Contaminant,FALSE,FALSE
Consumption,General,General,General,8,2,Consumption > General > General > General,TRUE,FALSE
Consumption,Mislabelling,Mislabelling,Mislabelling,9,2,Consumption > Mislabelling > Mislabelling > Mislabelling,FALSE,FALSE
Consumption,Palatability,Palatability,Palatability,10,2,Consumption > Palatability > Palatability > Palatability,FALSE,FALSE
Consumption,Quality,Quality,Quality,11,2,Consumption > Quality > Quality > Quality,FALSE,FALSE
Consumption,Safety,Safety,Safety,12,2,Consumption > Safety > Safety > Safety,FALSE,FALSE
Impacts,Environmental impacts,Biodiversity impacts,Biodiversity impacts,13,3,Impacts > Environmental impacts > Biodiversity impacts > Biodiversity impacts,FALSE,FALSE
Impacts,Environmental impacts,Escapes,Escapes,14,3,Impacts > Environmental impacts > Escapes > Escapes,FALSE,FALSE
Impacts,Environmental impacts,General,General,15,3,Impacts > Environmental impacts > General > General,TRUE,FALSE
Impacts,Environmental impacts,Impacts on native fish,Impacts on native fish,16,3,Impacts > Environmental impacts > Impacts on native fish > Impacts on native fish,FALSE,FALSE
Impacts,Environmental impacts,Nutrient load,Nutrient load,17,3,Impacts > Environmental impacts > Nutrient load > Nutrient load,FALSE,FALSE
Impacts,Environmental impacts,Wild versus farmed,Wild versus farmed,18,3,Impacts > Environmental impacts > Wild versus farmed > Wild versus farmed,FALSE,FALSE
Impacts,Mitigation,Management,Escape mitigation,19,3,Impacts > Mitigation > Management > Escape mitigation,FALSE,FALSE
Impacts,Mitigation,Output processing,Waste treatment,20,3,Impacts > Mitigation > Output processing > Waste treatment,FALSE,FALSE
Impacts,Mitigation,Output processing,Water treatment,21,3,Impacts > Mitigation > Output processing > Water treatment,FALSE,FALSE
Impacts,Social impacts,Social impacts,Social impacts,22,3,Impacts > Social impacts > Social impacts > Social impacts,FALSE,FALSE
Production,Aquaculture facility,Equipment,Equipment,23,4,Production > Aquaculture facility > Equipment > Equipment,FALSE,FALSE
Production,Aquaculture facility,General,General,24,4,Production > Aquaculture facility > General > General,TRUE,FALSE
Production,Aquaculture facility,Hydrodynamics,Hydrodynamics,25,4,Production > Aquaculture facility > Hydrodynamics > Hydrodynamics,FALSE,FALSE
Production,Aquaculture facility,Type,Closed,26,4,Production > Aquaculture facility > Type > Closed,FALSE,FALSE
Production,Aquaculture facility,Type,Land-based,27,4,Production > Aquaculture facility > Type > Land-based,FALSE,FALSE
Production,Aquaculture facility,Type,Location,28,4,Production > Aquaculture facility > Type > Location,FALSE,FALSE
Production,Aquaculture facility,Type,Polyculture,29,4,Production > Aquaculture facility > Type > Polyculture,FALSE,FALSE
Production,Aquaculture facility,Type,Pond-based,30,4,Production > Aquaculture facility > Type > Pond-based,FALSE,FALSE
Production,Aquaculture facility,Type,Sea-based,31,4,Production > Aquaculture facility > Type > Sea-based,FALSE,FALSE
Production,Feed,Additives,Additives,32,4,Production > Feed > Additives > Additives,FALSE,FALSE
Production,Feed,Alternatives,Alternatives,33,4,Production > Feed > Alternatives > Alternatives,FALSE,FALSE
